Authors;Year;Source title;Cited by
Voskoboynik A., Neff N.F., Sahoo D., Newman A.M., Pushkarev D., Koh W., Passarelli B., Fan H.C., Mantalas G.L., Palmeri K.J., Ishizuka K.J., Gissi C., Griggio F., Ben-Shlomo R., Corey D.M., Penland L., White R.A., Weissman I.L., Quake S.R.;2013;eLife;42
Heino M., Baulier L., Boukal D.S., Ernande B., Johnston F.D., Mollet F.M., Pardoe H., Therkildsen N.O., Uusi-Heikkila S., Vainikka A., Arlinghaus R., Dankel D.J., Dunlop E.S., Eikeset A.M., Enberg K., Engelhard G.H., Jorgensen C., Laugen A.T., Matsumura S., Nussle S., Urbach D., Whitlock R., Rijnsdorp A.D., Dieckmann U.;2013;ICES Journal of Marine Science;20
Young H.S., McCauley D.J., Guevara R., Dirzo R.;2013;Oecologia;3
Pespeni M.H., Palumbi S.R.;2013;Molecular Ecology;5
Hoving H.-J.T., Gilly W.F., Markaida U., Benoit-Bird K.J., -Brown Z.W., Daniel P., Field J.C., Parassenti L., Liu B., Campos B.;2013;Global Change Biology;14
Jayasundara N., Healy T.M., Somero G.N.;2013;Polar Biology;3
Hayes A.G., Lorenz R.D., Donelan M.A., Manga M., Lunine J.I., Schneider T., Lamb M.P., Mitchell J.M., Fischer W.W., Graves S.D., Tolman H.L., Aharonson O., Encrenaz P.J., Ventura B., Casarano D., Notarnicola C.;2013;Icarus;9
Fisher N.S., Beaugelin-Seiller K., Hinton T.G., Baumann Z., Madigan D.J., Garnier-Laplace J.;2013;Proceedings of the National Academy of Sciences of the United States of America;23
Michelou V.K., Caporaso J.G., Knight R., Palumbi S.R.;2013;PLoS ONE;5
Brown C.H., Mohr D.C., Gallo C.G., Mader C., Palinkas L., Wingood G., Prado G., Kellam S.G., Pantin H., Poduska J., Gibbons R., McManus J., Ogihara M., Valente T., Wulczyn F., Czaja S., Sutcliffe G., Villamar J., Jacobs C.;2013;Journal of Acquired Immune Deficiency Syndromes;12
Miller L.P.;2013;Marine Biology;4
Chapple T.K., Botsford L.W.;2013;Conservation Biology;
Yao C.-L., Somero G.N.;2013;Comparative Biochemistry and Physiology - A Molecular and Integrative Physiology;4
Kultz D., Clayton D.F., Robinson G.E., Albertson C., Carey H.V., Cummings M.E., Dewar K., Edwards S.V., Hofmann H.A., Gross L.J., Kingsolver J.G., Meaney M.J., Schlinger B.A., Shingleton A.W., Sokolowski M.B., Somero G.N., Stanzione D.C., Todgham A.E.;2013;BioScience;8
De Wit P., Palumbi S.R.;2013;Molecular Ecology;33
Jayasundara N., Somero G.N.;2013;Journal of Experimental Biology;4
Rosman J.H., Denny M.W., Zeller R.B., Monismith S.G., Koseff J.R.;2013;Limnology and Oceanography;
Ewen-Campen B., Donoughe S., Clarke D.N., Extavour C.G.;2013;Current Biology;12
Maxwell S.M., Morgan L.E.;2013;Marine Ecology Progress Series;4
Hong Y.-S., Hull P., Rifkin E., Bouwer E.J.;2013;Environmental Toxicology and Chemistry;7
Fujita R., Lynham J., Micheli F., Feinberg P.G., Bourillon L., Saenz-Arroyo A., Markham A.C.;2013;Biological Reviews;9
Therkildsen N.O., Hemmer-Hansen J., Als T.D., Swain D.P., Morgan M.J., Trippel E.A., Palumbi S.R., Meldrup D., Nielsen E.E.;2013;Molecular Ecology;14
