acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
28APR07:03:00:00	5	420619.2396	6564035.908	f	1193692	3358	33580
28APR07:06:00:00	5	420518.8109	6564007.082	f	1193691	3358	33580
28APR07:09:00:00	5	420825.1818	6564221.858	f	1193690	3358	33580
28APR07:12:00:00	5	421298.6633	6564152.651	f	1193689	3358	33580
28APR07:15:00:00	5	421218.1658	6564282.488	f	1193688	3358	33580
28APR07:18:00:00	5	420406.9216	6564011.324	f	1193687	3358	33580
28APR07:21:01:00	5	420431.9285	6562577.306	f	1193686	3358	33580
29APR07:00:00:00	5	420630.541	6562409.793	f	1193685	3358	33580
29APR07:03:00:00	5	420356.269	6562021.997	f	1193684	3358	33580
29APR07:06:00:00	5	421230.0594	6561543.855	f	1193683	3358	33580
29APR07:09:00:00	5	421543.7902	6561292.346	f	1193682	3358	33580
29APR07:12:00:00	5	421883.6387	6560779.03	f	1193681	3358	33580
29APR07:15:00:00	5	421970.5671	6560499.188	f	1195331	3358	33580
29APR07:18:00:00	5	422328.9193	6560188.547	f	1195330	3358	33580
29APR07:21:00:00	5	422785.5492	6559817.575	f	1195329	3358	33580
30APR07:00:00:00	5	422766.8565	6559802.081	f	1195328	3358	33580
30APR07:03:00:00	5	423050.5596	6559569.456	f	1195327	3358	33580
30APR07:06:00:00	5	423090.7047	6559295.176	f	1197111	3358	33580
30APR07:09:00:00	5	422483.1573	6558726.08	f	1197110	3358	33580
30APR07:12:00:00	5	422671.7079	6557963.136	f	1197109	3358	33580
30APR07:15:00:00	5	422536.9326	6558047.336	f	1197108	3358	33580
30APR07:18:00:00	5	422031.5193	6558934.652	f	1197107	3358	33580
30APR07:21:00:00	5	422507.9321	6559086.842	f	1203446	3358	33580
01MAY07:00:00:00	5	422725.6912	6559024.471	f	1203445	3358	33580
01MAY07:03:00:00	5	423043.9136	6558935.848	f	1203444	3358	33580
01MAY07:06:00:00	5	424298.9897	6557959.391	f	1203443	3358	33580
01MAY07:09:00:00	5	424395.1664	6557845.89	f	1203442	3358	33580
01MAY07:12:00:00	5	424238.3968	6557567.378	f	1203441	3358	33580
01MAY07:15:00:00	5	424420.9393	6557838.028	f	1203440	3358	33580
01MAY07:18:00:00	5	424381.3894	6557966.857	f	1203439	3358	33580
01MAY07:21:00:00	5	425477.9447	6558237.073	f	1203438	3358	33580
02MAY07:00:00:00	5	425367.5096	6558232.426	f	1203437	3358	33580
02MAY07:03:00:00	5	425210.7421	6558319.088	f	1203436	3358	33580
02MAY07:06:00:00	5	425385.5268	6558281.728	f	1203435	3358	33580
02MAY07:09:00:00	5	425399.6313	6558248.55	f	1203434	3358	33580
02MAY07:12:00:00	5	425402.6268	6558537.228	f	1203433	3358	33580
02MAY07:15:00:00	5	425383.0542	6558567.438	f	1203432	3358	33580
02MAY07:18:01:00	5	425677.6727	6558830.531	f	1203431	3358	33580
